County,State,StateSpace,Geography,Stub,Estimate,Stub2,Stub3
Ventura County,California, California,"Ventura County, California",. 18 to 64 years:,"492,024", 18 to 64 years,18 to 64 years
Ventura County,California, California,"Ventura County, California",. . With health insurance coverage,"389,599",  With health insurance coverage,With health insurance coverage
Ventura County,California, California,"Ventura County, California",. . No health insurance coverage,"102,425",  No health insurance coverage,No health insurance coverage
Ventura County,California, California,"Ventura County, California",. 65 years or over:,"90,255", 65 years or over,65 years or over
Ventura County,California, California,"Ventura County, California",. . With health insurance coverage,"89,690",  With health insurance coverage,With health insurance coverage
Ventura County,California, California,"Ventura County, California",. . No health insurance coverage,565,  No health insurance coverage,No health insurance coverage
Yolo County,California, California,"Yolo County, California",Total:,"196,045",Total,Total
Yolo County,California, California,"Yolo County, California",. Under 18 years:,"45,196", Under 18 years,Under 18 years
Yolo County,California, California,"Yolo County, California",. . With health insurance coverage,"43,404",  With health insurance coverage,With health insurance coverage
Yolo County,California, California,"Yolo County, California",. . No health insurance coverage,"1,792",  No health insurance coverage,No health insurance coverage
Yolo County,California, California,"Yolo County, California",. 18 to 64 years:,"132,519", 18 to 64 years,18 to 64 years
Yolo County,California, California,"Yolo County, California",. . With health insurance coverage,"114,736",  With health insurance coverage,With health insurance coverage
Yolo County,California, California,"Yolo County, California",. . No health insurance coverage,"17,783",  No health insurance coverage,No health insurance coverage
Yolo County,California, California,"Yolo County, California",. 65 years or over:,"18,330", 65 years or over,65 years or over
Yolo County,California, California,"Yolo County, California",. . With health insurance coverage,"18,127",  With health insurance coverage,With health insurance coverage
Yolo County,California, California,"Yolo County, California",. . No health insurance coverage,203,  No health insurance coverage,No health insurance coverage
Yuba County,California, California,"Yuba County, California",Total:,"71,745",Total,Total
Yuba County,California, California,"Yuba County, California",. Under 18 years:,"21,592", Under 18 years,Under 18 years
Yuba County,California, California,"Yuba County, California",. . With health insurance coverage,"19,968",  With health insurance coverage,With health insurance coverage
Yuba County,California, California,"Yuba County, California",. . No health insurance coverage,"1,624",  No health insurance coverage,No health insurance coverage
Yuba County,California, California,"Yuba County, California",. 18 to 64 years:,"43,634", 18 to 64 years,18 to 64 years
